Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Season,Season_Label,1,Mikal Bridges,28,NYK,SF,82,82.1,3036,14.0,.585,.391,.100,2.7,7.0,4.9,14.4,1.2,1.3,9.7,19.6,3.7,2.0,5.7,.090,0.4,-0.9,-0.5,1.2.1,bridgmi01
Kevin Durant,21.0,OKC,SF,82.0,82.0,3239.0,26.2,0.607,0.21,0.504,3.8,17.9,11.0,13.5,1.8,1.9,11.7,32.0,11.1,5.0,16.1,0.238,6.3,0.8,7.1,7.5,"MVP-2,AS,NBA1",2010,2009-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andre Iguodala,26.0,PHI,SF,82.0,82.0,3193.0,17.8,0.535,0.271,0.384,3.0,16.8,9.8,23.7,2.3,1.4,14.3,21.8,4.0,2.8,6.7,0.101,2.0,0.4,2.4,3.5,,2010,2009-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rudy Gay,23.0,MEM,SF,80.0,80.0,3175.0,16.2,0.535,0.157,0.311,4.2,13.2,8.7,7.8,1.9,1.5,10.3,22.5,4.0,2.4,6.4,0.096,0.8,-0.3,0.5,2.0,,2010,2009-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stephen Jackson,31.0,2TM,SG,81.0,81.0,3129.0,15.6,0.518,0.277,0.306,3.0,12.2,7.7,17.7,2.2,1.1,13.9,27.5,0.5,4.6,5.0,0.077,0.3,0.1,0.4,1.9,MVP-12,2010,2009-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stephen Jackson,31.0,GSW,PF,9.0,9.0,300.0,14.5,0.499,0.301,0.278,2.2,10.9,6.5,21.3,2.2,1.4,14.8,25.0,-0.1,0.2,0.0,0.008,0.2,-1.5,-1.3,0.1,,2010,2009-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stephen Jackson,31.0,CHA,SG,72.0,72.0,2829.0,15.7,0.52,0.275,0.309,3.1,12.3,7.8,17.3,2.2,1.1,13.8,27.8,0.6,4.4,5.0,0.085,0.3,0.3,0.6,1.8,,2010,2009-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gerald Wallace,27.0,CHA,SF,76.0,76.0,3119.0,18.3,0.586,0.148,0.577,5.9,23.2,14.7,9.0,2.0,2.2,13.1,20.3,5.3,6.2,11.5,0.177,1.0,1.7,2.7,3.7,"DPOY-3,AS,DEF1",2010,2009-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O.J. Mayo,22.0,MEM,SG,82.0,82.0,3113.0,14.6,0.551,0.3,0.221,2.3,9.4,5.8,12.2,1.6,0.4,11.9,20.7,4.3,1.4,5.6,0.087,0.8,-0.8,0.0,1.6,,2010,2009-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zach Randolph,28.0,MEM,PF,81.0,81.0,3051.0,21.2,0.546,0.039,0.348,12.6,23.8,18.2,8.2,1.3,0.8,10.1,24.6,7.0,2.7,9.7,0.153,2.7,-1.4,1.3,2.5,AS,2010,2009-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeff Green,23.0,OKC,PF,82.0,82.0,3043.0,13.8,0.53,0.292,0.208,4.3,13.9,9.2,7.2,1.8,1.8,10.4,19.2,2.5,4.2,6.6,0.105,-0.4,0.6,0.2,1.7,,2010,2009-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dirk Nowitzki,31.0,DAL,PF,81.0,80.0,3039.0,22.9,0.578,0.081,0.392,3.1,20.1,11.7,13.0,1.2,2.0,7.8,28.8,8.4,3.9,12.3,0.194,3.7,0.5,4.2,4.7,"MVP-7,AS,NBA2",2010,2009-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brook Lopez,21.0,NJN,C,82.0,82.0,3027.0,20.1,0.57,0.002,0.451,9.9,17.5,13.5,11.8,1.0,3.4,13.1,23.6,5.5,2.4,7.9,0.125,1.6,-0.5,1.2,2.5,,2010,2009-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Lee,26.0,NYK,C,81.0,81.0,3019.0,22.2,0.584,0.006,0.262,8.4,27.6,17.9,17.5,1.4,1.0,11.9,23.8,7.4,2.9,10.3,0.163,2.6,0.0,2.5,3.5,"DPOY-17,AS",2010,2009-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LeBron James,25.0,CLE,SF,76.0,76.0,2966.0,31.1,0.604,0.253,0.506,3.0,18.5,11.1,41.8,2.2,2.0,12.3,33.5,13.3,5.2,18.5,0.299,9.1,2.8,11.8,10.3,"MVP-1,DPOY-4,AS,NBA1,DEF1",2010,2009-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rajon Rondo,23.0,BOS,PG,81.0,81.0,2963.0,19.1,0.54,0.088,0.312,4.3,10.5,7.5,43.7,3.3,0.3,19.3,20.2,4.9,4.7,9.6,0.156,2.2,1.4,3.6,4.2,"DPOY-5,AS,DEF1",2010,2009-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David West,29.0,NOH,PF,81.0,81.0,2949.0,18.9,0.56,0.022,0.279,6.4,17.9,12.0,13.7,1.3,1.5,11.2,24.0,5.2,2.3,7.5,0.122,1.2,-0.3,0.8,2.1,,2010,2009-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LaMarcus Aldridge,24.0,POR,PF,78.0,78.0,2922.0,18.2,0.535,0.014,0.26,8.1,18.6,13.3,9.9,1.3,1.3,7.4,22.9,5.5,3.3,8.8,0.145,1.4,-0.2,1.2,2.3,,2010,2009-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
